0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20
CPY011_wl,-17.962105,-9.174849,-4.5174437,-0.37431097,0.8983209,2.4611173,-0.9651791,7.3729725,-1.8534443,-3.268887,0.9371782,-5.8724008,-0.73954284,-4.9422665,0.76503944,-0.18868399,-0.9890398,-1.1614962,4.428896,3.695488e-06
VLGE15_press,19.196733,-5.8293257,-0.33686805,6.6700397,30.06398,12.867345,8.984844,-8.956455,-0.5127647,-1.6223431,-1.3039091,-0.073048115,-0.087175876,-0.10727024,0.5435606,-7.688999e-05,0.024289489,-0.017054856,0.030908227,-5.066395e-07
CPY017_wl,-15.057741,-1.8818083,9.85392,2.501843,-0.639148,-1.3976231,2.5738602,2.984662,-5.985136,6.5746937,-3.8920689,9.220585,-4.926947,-0.5247145,6.389153,1.1929803,-1.6417568,0.4051374,0.08872685,3.9488077e-06
DNP017_temp,9.851589,31.504242,-5.975263,6.7203817,4.0432673,-2.379262,-8.39463,5.517994,-1.8245628,0.451025,1.3075094,-1.0979964,-0.21054888,-1.1664716,0.42443967,-3.5570123,-0.99830264,4.259167,0.14872026,-1.9073486e-06
DNP017_press,33.144783,-13.136509,27.950521,2.406989,-4.0932193,-8.3882065,-7.5306077,1.0146961,3.057961,-11.532771,-3.0486336,1.1939564,-0.4146924,-0.7210704,-0.15394545,0.52895176,-0.21329117,0.61055183,0.20498276,-1.0341406e-05
CHM002_wl,-10.647934,5.15474,0.7967377,-14.657651,-0.62571466,-0.94655657,-3.833893,-8.903845,5.6070356,-0.5705508,0.08607495,0.90561485,9.520749,-0.37447464,5.7598133,0.10536897,0.54605806,0.09278083,0.14758593,3.6507845e-06
CHM006_wl,-6.0332704,6.817933,4.8599567,-16.494755,-0.40973648,4.2550955,-7.54251,-7.715072,11.759192,7.3481007,-8.889419,-3.8344145,-4.232375,-1.253598,-3.1133075,0.14551997,-0.3399815,-0.050691724,-0.19721916,1.6540289e-06
VLGE25_humid,6.187404,10.309999,-1.1096017,-2.7570643,-6.231042,-18.496002,17.838024,-14.594455,-8.690048,0.27422702,-0.34452152,-4.962753,-1.2121476,-1.0546743,-0.5216911,0.16492605,0.065532446,0.023635745,0.085505724,1.9669533e-06
NAN008_wl,-18.784805,-1.6230015,-6.437849,-0.87698126,1.11287,1.7419481,1.9469194,4.47761,-1.2841415,-3.3567562,1.0043764,0.5358608,1.880164,-2.2558377,-3.5053864,6.1830072,-1.0687451,2.881006,-1.3976885,4.9471855e-06
DNP032_rain,30.950314,-22.507051,-20.949236,-13.262503,3.9115932,-10.449537,-9.944991,1.09863,-1.0374236,6.225828,6.409811,2.7077155,-1.025282,-0.9073365,-0.3431778,0.19596088,-0.8360068,-0.5853091,-0.36000177,-7.1525574e-07
VLGE36_rain,14.238851,-4.7094975,-11.238891,11.290796,-20.386747,19.605999,-6.116379,-12.640377,-7.217451,-1.2005209,-0.5572033,0.79066646,-0.17925167,-0.26467282,0.060727,-0.015462965,0.0020222664,0.013296008,-0.0039343834,3.874302e-07
Dam_SK_WaterVol,-8.243562,-18.916153,14.529182,16.46497,0.8072347,-3.7027466,-2.2074018,3.4159832,-5.6173773,11.992534,-2.543473,-1.941442,5.4269524,0.6450627,-3.34091,-1.2329009,1.3235464,0.36852837,0.036814928,-1.2218952e-06
DNP032_temp,10.450979,31.052446,-3.4230716,8.681313,4.2114244,-3.5233045,-9.574274,6.207377,-4.3852105,0.14075303,-2.2827244,-0.9205326,0.7381525,1.7034329,0.018033743,3.0387144,1.2436738,-4.045746,-0.16123676,-1.937151e-06
DNP055_humid,26.736864,4.7226253,3.7592611,-18.24194,-8.179363,11.432964,16.184515,16.430355,-0.8613199,2.49616,-0.810369,-0.58054113,1.5463815,2.2810376,-0.29385662,-0.34495175,0.45437032,0.098777056,0.22352552,-1.1026859e-06
PAS009_wl,-17.893898,-10.027492,-5.826464,-3.1653428,1.8667865,-2.5532763,-4.2232337,-1.1648586,-1.4677038,-3.8267622,-0.16305876,-3.6161158,-2.021832,10.319011,0.5972309,0.2592219,-0.19994545,1.2052449,1.1144953,4.529953e-06
DNP032_wl,-6.8590016,8.769362,20.416286,4.2591105,-2.2989237,4.867631,0.9592612,-3.823711,7.2911863,3.669687,15.129825,-1.3489208,-2.3668423,0.6074002,-0.1232934,0.65372276,-0.02249549,-0.6104106,-0.121545166,-6.92904e-07
VLGE15_rain,2.862469,-4.7214966,-17.711218,22.00973,-6.268491,-5.9932804,10.0454,3.7881424,18.350328,-0.2652738,-2.150577,1.5406698,-0.0836494,0.34718144,1.1375811,-0.22368097,0.40222287,-0.2584514,-0.07852763,1.6093254e-06
YOM008_wl,-17.765991,4.600199,-0.03136587,-2.9476721,0.34996217,-0.49180353,2.7845688,-0.9849024,-0.77969724,-4.731351,0.081483126,7.196999,2.1365325,0.7913197,-4.7628183,-3.0593545,-4.7775617,-2.2344446,-0.52073634,4.9322844e-06
YOM009_wl,-17.21577,1.0795268,-3.2333837,-7.0294423,1.390606,-0.81040645,0.2686808,-0.4084103,-1.5286034,-4.308448,1.0348102,7.7709146,-1.9365668,-1.1806093,-2.5549712,-1.5663099,6.521536,0.17869002,0.40421557,4.582107e-06
CPY012_wl,-17.15589,-11.483915,-1.3752139,-1.1975036,0.47632933,1.8999095,-1.2529806,6.8836594,-3.0208254,-4.4893394,-0.005118847,-7.614816,-1.8120764,-1.9414446,3.0177739,-2.2799377,0.503878,-1.1732088,-4.0734825,2.2351742e-06
